id,text,author,trackType,presentationMode,categories
31f63ff2-2e17-4673-b53d-ab055d6d2a00,"We are mosaics - pieces of light, love, history, stars -- glued together with magic and music and words.",Anita Krishan,hope,textOverlay,Connection|Possibility
614e0186-f26c-40cd-ad14-6af6206dad0a,"Every soul is beautiful and precious; is worthy of dignity and respect, and deserving of peace, joy and love.","Bryant McGill, Voice of Reason",hope,textOverlay,Self-Worth|Mindfulness|Connection
73c75a80-8d7b-4cb3-a027-d8a4e5efe1a9,"We must learn to let the Word of God feed us and strengthen us in our faith in God its author, Christ its message, and the Holy Spirit its teacher.","Billy Graham, Billy Graham in Quotes",hope,textOverlay,Agency|Resilience|Growth
53b74050-9ed1-424f-a287-48098b666fad,The power within is strength of the spirit.,Lailah Gifty Akita,hope,textOverlay,Agency|Possibility|Resilience
967d2e65-6647-4770-9962-c0184d0eead8,What I know is nothing but that we are a spring path of autumn light carved into a river of ancient singing.,"Heather K. O'Hara, The Path of Songs: A Gift for the Soul",hope,textOverlay,Self-Worth|Connection
ab23b0a1-c96c-4b48-989e-808d795e769e,I believe that each of our lives has a purpose. You have something to do that is unique to you.,"John Patrick Hickey, All You Have Is Now: How Your Approach to the World Determines Your Destiny",hope,textOverlay,Purpose|Growth|Agency
b93c2c8d-1727-4fc0-9011-ca32614e5472,"If your comfort zone is misery, it's time to get uncomfortable.","Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life",hope,textOverlay,Self-Worth|Agency|Growth
55b8415a-c528-4cd1-89a5-3ffc5ab06d1a,Every moment is auspicious. There is always some magic in it.,"Amit Ray, Mindfulness Living in the Moment - Living in the Breath",hope,textOverlay,Mindfulness|Agency|Growth
bae76e34-3750-4b69-82a2-eaeef148de92,You are too important to the bigger picture to just fall off the canvas.,Johnnie Dent Jr.,hope,textOverlay,Resilience|Self-Worth
4498e8a6-5485-411d-8eea-422792bcd554,"The best way to succeed is to have a specific Intent, a clear Vision, a plan of Action, and the ability to maintain Clarity. Those are the Four Pillars of Success. It never fails!","Steve Maraboli, Life, the Truth, and Being Free",hope,textOverlay,Possibility|Purpose|Agency
605350ae-cd9c-46ba-afd1-6f11865b816e,"Integrity is doing what is right and truthful, and doing as you say you would do.","Roy T. Bennett, The Light in the Heart",hope,textOverlay,Growth|Possibility|Resilience
ea32e242-24d4-4d26-aa0f-de22bbe6d71a,"Passion can transform the mind, body and spirit...Passion can align you with the wisdom of nature and the power of what is in your heart.",JoLynne Valerie,hope,textOverlay,Purpose|Agency|Growth
22b65666-3c9f-438c-bd88-2b2b129f0e05,If you want to make people angry. Be Happy. It's sad that people cant stand when others are happy inlife. It really says a lot about them.,De philosopher DJ Kyos,hope,textOverlay,Agency|Growth|Connection
8a986d55-6dd3-44ae-9a2e-d8f47b9b353e,a distinctive amount of a reasonable scarcity improves value greatly,"Ernest Agyemang Yeboah, The Untapped Wonderer in You: Dare to Do the Undone",hope,textOverlay,Purpose|Growth|Connection
232950eb-5aac-4266-b9fd-7682b2a995b3,"You don’t have to spend a lot of money to feel like a million. A good night’s sleep, a quiet walk by the river or a hug from a favorite person will do the trick.",Gina Greenlee,hope,textOverlay,Self-Worth|Connection
450862a5-e565-4cc7-baa7-dadbed3da707,Storms pass by on their way to get all the colors needed to paint your rainbow.,Matshona Dhliwayo,hope,textOverlay,Resilience|Growth
e724d44b-31a6-456a-97c0-e75dce5b47f1,"To experience the unknown, developing understanding and to care, that is our purpose.",Maurice Randall,hope,textOverlay,Purpose|Growth|Connection
ef2be034-790a-4e37-bd02-6bf6dcb73ba1,There's no greater show on earth than observing human nature,"Benny Bellamacina, Little Luigi: A Musical Adventure",hope,textOverlay,Connection|Growth
c8a2b2ca-0db4-4558-b549-3d44bade4506,You don't need my testimony to know God is Good. I pray u have a testimony for yourself.,Kingsley ofosu-Ampong,hope,textOverlay,Connection|Possibility
b06ee9d9-845a-49ba-aa32-584a0f224d59,"The wrong man is not always wrong because of his wrong actions, often he is wrong because of no actions.","Amit Kalantri, Wealth of Words",hope,textOverlay,Agency|Growth|Mindfulness
192b2a15-9815-472d-8ac5-cd50e355bb4a,"A prophet is not someone with special visions, just someone blind to most of what others see","Nassim Nicholas Taleb, The Bed of Procrustes: Philosophical and Practical Aphorisms",hope,textOverlay,Connection|Growth
c210eb10-fbc4-49f7-8c53-0049596ccef0,"By God’s grace and mighty power, we can do great deeds.","Lailah Gifty Akita, Pearls of  Wisdom: Great  mind",hope,textOverlay,Purpose|Agency|Possibility
ae2b2cbd-9743-4e9b-8892-079565d88b19,"The greatest strength are rooted in love, joy, peace, patient, kindness, goodness, faithfulness, gentleness and self control.","Lailah Gifty Akita, Think Great: Be Great!",hope,textOverlay,Connection|Agency|Mindfulness
e40f0efa-ab7a-4586-af5f-ab8ed07f4db3,"The naysayer has a place in your life, but if that is someone that you are considering to be your friend, do they truly add value in your life?",Dee-Williams,hope,textOverlay,Connection|Agency
591886bd-5059-4d10-a9fd-b5d660758b6d,"Your life is lived in a day, so focus on living one good day by successfully designing, creating and living that good day and duplicating it.",Mensah Oteh,hope,textOverlay,Connection|Possibility|Growth
58a2ed47-cc2b-4df7-8036-1947f2e86832,"Dear Miss Pomeroy, I am saddened by the things I do not know. There are hundreds--thousands--of books in the world and I will never be able to read all of them.I am old.Walter","Barbara Wersba, Walter: The Story of a Rat",hope,textOverlay,Mindfulness|Possibility|Growth
01b5b45a-82a0-4f73-afc7-805ac12514e4,There is nothing left but the attempt and not trying is the same as failing.,"Mark  Miller, The Fourth Queen",hope,textOverlay,Self-Worth
bb9da884-c668-4ace-bb2a-1d6bcec8d41f,Freedom to be yourself is among the most valuable freedoms I know.,"Innocent Mwatsikesimbe, The Reason",hope,textOverlay,Self-Worth|Growth|Connection
5615e072-0645-4a04-bd59-f320d34c178b,"The pathway to enlightenment, transformation and liberation is the heart not the mind.",Rasheed Ogunlaru,hope,textOverlay,Growth|Mindfulness|Connection
2e03829b-2da1-44a3-a919-a345b9f9dd89,You know how powerful it can be when you discover that you can do something you never thought you could? It changes everything… and gets you thinking about what else you can do that you weren’t aware of.,Ashley Graham,hope,textOverlay,Self-Worth|Growth|Connection
1ea84399-e0f2-4a98-9e91-9357cc8c31c1,"The vision is always for the appointed time. Though it tarry, it will not fail. It shall surely come to pass in perfect moment.",Lailah Gifty Akita,hope,textOverlay,Possibility|Agency
ce36812e-e298-43a2-a02a-58f095e85f9d,"Through each crisis in my life, with acceptance and hope, in a single defining moment, I finally gained the courage to do things differently.",Sharon E. Rainey,hope,textOverlay,Mindfulness|Agency
d2be6c75-ab68-4a5e-a315-b412580ee3e7,"Every intention emits a power of attraction, which brings all the forces of universe to fulfill your dreams.",Debasish Mridha,hope,textOverlay,Growth|Possibility|Connection
342bdeb3-74d9-4498-b674-b56c5d913afb,"Your decisions are influenced by your beliefs, philosophy, wisdom, environment, relationships, goals or dreams and state of mind.","Mensah Oteh, The Best Chance: A Guide to Discovering Your Purpose, Reaching Your Potential, Experiencing Fulfilment and Achieving Success in Any Area of Life",hope,textOverlay,Possibility|Connection|Growth
250db8f2-35d8-46b8-840b-9cd7949f91ee,"Gratitude must come from a place of true sincerity to be effective. Without sincerity, the experience is incomplete.",Mensah Oteh,hope,textOverlay,Connection|Possibility|Growth
c817614a-d194-4749-9ba6-56a1dafccf03,The true measure of success is how many times you can bounce back from failure.,Stephen Richards,hope,textOverlay,Agency|Connection|Growth
474ae78e-a11c-48ce-bd0b-8c5bd8dfa50a,"You are beautiful, not only because of your beauty, because of who you are.",Debasish Mridha,hope,textOverlay,Self-Worth
fee4f3bb-1d59-43ab-8a05-5b4474f68eb8,"When you are inspired, there is little you won’t attempt. Find what inspires you, and keep it around and with you always.","Mensah Oteh, The Good Life: Transform your life through one good day",hope,textOverlay,Connection|Possibility|Purpose
